FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
HullAndEngineAccessoryDamage,20240501,,0,0,0,Cargo ship's pilot ladder did not conform to SOLAS regulations,56.4411,-2.7255,hullAndEngineAccessoryDamageType,outfit damage,-2.7255 56.4411
NavigationalIssues,20240501,,0,0,2,Five people fell overboard from recreational craft,50.704,-1.5707,navigationalIssuesType,sailing hinderance,-1.5707 50.704
FireAndExplosion,20240501,,0,0,1,Sailing vessel caught fire resulting in person in water,51.513167,-4.7275,fireAndExplosionType,fire,-4.7275 51.513167
StrandingAndGrounding,20240501,,0,0,0,A search and rescue vessel struck a submerged object resulting in minor damage to propeller,55.576333,-1.642333,strandingAndGroundingType,grounding,-1.642333 55.576333
CollisionAndContact,20240501,,0,0,0,A patrol vessel collided with a buoy resulting in some damage to the hull,50.758333,-1.186667,collisionAndContactType,collision,-1.186667 50.758333
HullAndEngineAccessoryDamage,20240501,,0,0,0,Cargo ship's pilot ladder did not conform to SOLAS regulations,55.0223,-1.3382,hullAndEngineAccessoryDamageType,outfit damage,-1.3382 55.0223
HullAndEngineAccessoryDamage,20240501,,0,0,0,Service vessel's pilot ladder did not conform to SOLAS regulations,52.5703,1.7488,hullAndEngineAccessoryDamageType,outfit damage,1.7488 52.5703
HullAndEngineAccessoryDamage,20240501,,0,0,0,Cargo vessel's pilot ladder did not conform to SOLAS regulations,51.4984,0.5516,hullAndEngineAccessoryDamageType,outfit damage,0.5516 51.4984
StrandingAndGrounding,20240501,,0,0,0,A recreational vessel experienced engine failure and ran aground,50.8231,-0.9442,strandingAndGroundingType,grounding,-0.9442 50.8231
OtherIncident,20240501,,0,0,0,Person fell overboard from pleasure vessel resulting in search and rescue being tasked,50.58695,-3.3945,otherIncidentType,other incident,-3.3945 50.58695
floodingAndSinking,20240501,,0,0,0,A small motor vessel was swamped while trying to anchor and later ran aground,50.4026,-3.545,floodingAndSinkingType,sinking,-3.545 50.4026
HullAndEngineAccessoryDamage,20240501,,0,0,0,Oil tanker's pilot ladder did not conform to SOLAS regulations,51.6574,-5.2007,hullAndEngineAccessoryDamageType,outfit damage,-5.2007 51.6574
CollisionAndContact,20240501,,0,0,0,A crew transfer vessel made contact with a barge,52.819133,1.558517,collisionAndContactType,collision,1.558517 52.819133
HullAndEngineAccessoryDamage,20240501,,0,0,0,A cargo vessel lost a lifeboat that was found was ashore,51.6936,-5.2847,hullAndEngineAccessoryDamageType,hull damage,-5.2847 51.6936
CollisionAndContact,20240501,,0,0,0,A search and rescue vessel made contact with it's carriage during recovery,52.9547,0.4998,collisionAndContactType,collision,0.4998 52.9547
HullAndEngineAccessoryDamage,20240501,,0,0,0,A fishing vessel experience an engine failure resulting in being towed,57.651667,-1.842667,hullAndEngineAccessoryDamageType,machineries and propulsion damage,-1.842667 57.651667
FireAndExplosion,20240501,,0,0,0,A supply vessel experienced a fire in the engine room,61.271667,0.936833,fireAndExplosionType,fire,0.936833 61.271667
OtherIncident,20240501,,0,0,1,A  passenger ferry crew member cut their finger on broken glass,51.0643,1.8771,otherIncidentType,other incident,1.8771 51.0643
OtherIncident,20240501,,0,0,1,A sailing vessel crew member suffered a partial amputation to their thumb after operating a winch,56.3884,-5.730183,otherIncidentType,other incident,-5.730183 56.3884
HullAndEngineAccessoryDamage,20240601,,0,0,0,A ro-ro cargo vessel had an inadequate pilot ladder arrangement.,50.6775,-1.0528,hullAndEngineAccessoryDamageType,hull damage,-1.0528 50.6775
StrandingAndGrounding,20240501,,0,0,0,A passenger vessel ran aground after leaving a lock,53.313017,-2.747533,strandingAndGroundingType,grounding,-2.747533 53.313017
HullAndEngineAccessoryDamage,20240501,,0,0,0,A replenishment tanker fast rescue craft parted its painter line when it was being recovered.,50.563333,-3.078333,hullAndEngineAccessoryDamageType,machineries and propulsion damage,-3.078333 50.563333
StrandingAndGrounding,20240601,,0,0,0,A pleasure motor vessel went aground and the two crew were rescued by search and rescue teams.,56.54565,-5.425533,strandingAndGroundingType,grounding,-5.425533 56.54565
StrandingAndGrounding,20240501,,0,0,0,A container ship grounded whilst departing from port.,6.403,4.020667,strandingAndGroundingType,grounding,4.020667 6.403
NavigationalIssues,20240601,,0,0,0,A search and rescue vessel suffered main engine failure.,51.0027,-4.3944,navigationalIssuesType,drifting,-4.3944 51.0027
HullAndEngineAccessoryDamage,20240601,,0,0,0,A container vessel had an inadequate pilot ladder arrangement.,51.9156,1.3284,hullAndEngineAccessoryDamageType,outfit damage,1.3284 51.9156
HullAndEngineAccessoryDamage,20240601,,0,0,0,A bulk carrier had an inadequate pilot ladder arrangement.,51.4905,0.8842,hullAndEngineAccessoryDamageType,hull damage,0.8842 51.4905
OtherIncident,20240601,,0,0,1,A pleasure motor vessel struck a swimmer who sustained a head injury.,50.361,-4.368,otherIncidentType,other incident,-4.368 50.361
HullAndEngineAccessoryDamage,20240601,,0,0,0,A pleasure sailing vessel was damaged and required a tow.,54.298,-0.353333,hullAndEngineAccessoryDamageType,machineries and propulsion damage,-0.353333 54.298
NavigationalIssues,20240601,,0,0,0,A pleasure sailing vessel sustained steering failure and then ran aground.,50.682983,-1.588467,navigationalIssuesType,drifting,-1.588467 50.682983
FireAndExplosion,20240601,,0,0,0,A ro-pax vessel had a fire in the stairwell caused by an electrical issue.,51.083333,1.416667,fireAndExplosionType,fire,1.416667 51.083333
OtherIncident,20240601,,0,0,0,A service vessel crew member was in the water without a lifejacket and got into difficulties.,50.795,-4.58,otherIncidentType,other incident,-4.58 50.795
NavigationalIssues,20240601,,0,0,0,A search and rescue vessel experienced engine failure.,54.977,-1.373,navigationalIssuesType,drifting,-1.373 54.977
OtherIncident,20240601,,0,0,1,A person on a small motor boat fell and sustained a head injury requiring hospital treatment.,54.41,-2.949,otherIncidentType,other incident,-2.949 54.41
HullAndEngineAccessoryDamage,20240601,,0,0,0,A ro-ro cargo vessel had an inadequate pilot ladder arrangement.,50.6784,-1.0535,hullAndEngineAccessoryDamageType,hull damage,-1.0535 50.6784
floodingAndSinking,20240501,,0,0,0,A search and rescue vessel capsized during a slow speed transfer.,55.204653,-6.65825,floodingAndSinkingType,capsizing,-6.65825 55.204653
HullAndEngineAccessoryDamage,20240601,,0,0,0,A container vessel had an inadequate pilot ladder arrangement.,51.9163,1.331,hullAndEngineAccessoryDamageType,outfit damage,1.331 51.9163
HullAndEngineAccessoryDamage,20240601,,0,0,0,A container vessel had an inadequate pilot ladder arrangement.,51.9156,1.3319,hullAndEngineAccessoryDamageType,outfit damage,1.3319 51.9156
StrandingAndGrounding,20240601,,0,0,0,A recreational motor vessel ran aground and the people were rescued.,54.4712,-7.75455,strandingAndGroundingType,grounding,-7.75455 54.4712
NavigationalIssues,20240601,,0,0,0,A sight-seeing passenger vessel fouled its propeller.,60.148,-1.044,navigationalIssuesType,sailing hinderance,-1.044 60.148
FireAndExplosion,20240601,,0,0,0,A sailing yacht had an engine fire and were assisted alongside.,50.312783,-3.579167,fireAndExplosionType,fire,-3.579167 50.312783
HullAndEngineAccessoryDamage,20240601,,0,0,0,A container ship had an inadequate pilot ladder arrangement.,51.4901,0.9158,hullAndEngineAccessoryDamageType,outfit damage,0.9158 51.4901
OtherIncident,20240601,,0,0,1,A fishing trawler crew member fractured their finger.,53.666667,2.833333,otherIncidentType,other incident,2.833333 53.666667
NavigationalIssues,20240601,,0,0,0,A pleasure sailing yacht  dragged anchor and went aground and required a tow.,56.481,-6.2678,navigationalIssuesType,drifting,-6.2678 56.481
floodingAndSinking,20240601,,0,0,0,Not available Under Permanent Cooperation Framework (PCF),55.1655,-8.301667,floodingAndSinkingType,sinking,-8.301667 55.1655
CollisionAndContact,20240601,,0,0,2,"A pleasure sailing yacht struck a moored, unmanned barge and was dis-masted.",51.482,0.199,collisionAndContactType,collision,0.199 51.482
OtherIncident,20240601,,0,0,1,A cruise ship passenger fell down the stairs and broke their rib.,-38.19,140.313333,otherIncidentType,other incident,140.313333 -38.19
StrandingAndGrounding,20240601,,0,0,0,A search and rescue vessel grounded.,51.087667,-4.26,strandingAndGroundingType,grounding,-4.26 51.087667
StrandingAndGrounding,20240601,,0,0,0,A search and rescue vessel grounded whilst on an emergency tasking.,51.087667,-4.26,strandingAndGroundingType,grounding,-4.26 51.087667
StrandingAndGrounding,20240601,,0,0,0,A search and rescue vessel grounded on a rock.,53.416667,-4.933333,strandingAndGroundingType,grounding,-4.933333 53.416667
HullAndEngineAccessoryDamage,20240601,,0,0,0,A general cargo vessel had an inadequate pilot ladder arrangement.,56.4509,-2.7196,hullAndEngineAccessoryDamageType,outfit damage,-2.7196 56.4509
StrandingAndGrounding,20240601,,0,0,0,A general cargo vessel grounded.,55.778617,-6.0725,strandingAndGroundingType,grounding,-6.0725 55.778617
floodingAndSinking,20240601,,0,0,0,A sailing yacht started to take on water and the occupant abandoned the vessel.,54.062167,-3.139833,floodingAndSinkingType,sinking,-3.139833 54.062167
HullAndEngineAccessoryDamage,20240601,,0,0,0,A tanker had an inadequate pilot ladder arrangement.,53.5054,-3.1883,hullAndEngineAccessoryDamageType,outfit damage,-3.1883 53.5054
NavigationalIssues,20240601,,0,0,0,A bare boat charter sailing vessel got into difficulties and was rescued.,62.1557,-18.9689,navigationalIssuesType,sailing hinderance,-18.9689 62.1557
HullAndEngineAccessoryDamage,20240601,,0,0,0,A work boat RIB was washed over board during poor weather.,52.2157,-4.3455,hullAndEngineAccessoryDamageType,hull damage,-4.3455 52.2157
CollisionAndContact,20240601,,0,0,0,Collison between two yachts resulting in one of the vessels sustaining water ingress.,50.70955,-1.506667,collisionAndContactType,collision,-1.506667 50.70955
CollisionAndContact,20240601,,0,0,0,A tug while towing made contact with a bridge and both vessels were up either side of the abutment,51.5096,-0.1042,collisionAndContactType,contact,-0.1042 51.5096
OtherIncident,20240601,,0,0,1,A sailing yacht was swamped by a wave resulting in one crew member overboard and one sustaining a fracture,50.558117,-1.297483,otherIncidentType,other incident,-1.297483 50.558117
OtherIncident,20240601,,0,0,1,A cruise ship passenger tripped and dislocated their shoulder,34.858333,139.591667,otherIncidentType,other incident,139.591667 34.858333
floodingAndSinking,20240601,,0,0,0,"A sailing vessel capsized, two crew fell into the water and were recovered by a search and rescue vessel",50.1525,-5.024,floodingAndSinkingType,capsizing,-5.024 50.1525
NavigationalIssues,20240601,,0,0,0,A fishing vessel fouled its propeller and required a tow,55.232,-1.5098,navigationalIssuesType,drifting,-1.5098 55.232
NavigationalIssues,20240601,,0,0,0,A fishing vessel fouled its propeller and required a tow,51.595,-3.945,navigationalIssuesType,drifting,-3.945 51.595
FireAndExplosion,20240601,,0,0,0,A pleasure vessel experience an engine fire and required a tow,52.302,1.736,fireAndExplosionType,fire,1.736 52.302
floodingAndSinking,20240601,,0,0,0,"A sailing vessel capsized with six people recovered from the water, the vessel later sank",50.172833,-5.042167,floodingAndSinkingType,sinking,-5.042167 50.172833
HullAndEngineAccessoryDamage,20240601,,0,0,0,Cargo vessel's pilot ladder did not conform to SOLAS regulations,51.4905,0.7997,hullAndEngineAccessoryDamageType,outfit damage,0.7997 51.4905
HullAndEngineAccessoryDamage,20240601,,0,0,0,Cargo vessel's pilot ladder did not conform to SOLAS regulations,50.6953,-0.9953,hullAndEngineAccessoryDamageType,hull damage,-0.9953 50.6953
HullAndEngineAccessoryDamage,20240601,,0,0,0,Container vessel's pilot ladder did not conform to SOLAS regulations,51.4922,0.8641,hullAndEngineAccessoryDamageType,outfit damage,0.8641 51.4922
HullAndEngineAccessoryDamage,20240601,,0,0,0,Cargo vessel's pilot ladder did not conform to SOLAS regulations,51.4965,1.0508,hullAndEngineAccessoryDamageType,outfit damage,1.0508 51.4965
HullAndEngineAccessoryDamage,20240601,,0,0,0,Cargo vessel's pilot ladder did not conform to SOLAS regulations,53.5056,-3.2666,hullAndEngineAccessoryDamageType,outfit damage,-3.2666 53.5056
HullAndEngineAccessoryDamage,20240601,,0,0,0,Offshore vessel's pilot ladder did not conform to SOLAS regulations,55.0242,-1.3148,hullAndEngineAccessoryDamageType,outfit damage,-1.3148 55.0242
HullAndEngineAccessoryDamage,20240601,,0,0,0,Container vessel's pilot ladder did not conform to SOLAS regulations,51.4794,0.7844,hullAndEngineAccessoryDamageType,outfit damage,0.7844 51.4794
NavigationalIssues,20240601,,0,0,0,An inland passenger vessel suffered a lost power and drifted aground,51.483333,-0.138333,navigationalIssuesType,drifting,-0.138333 51.483333
StrandingAndGrounding,20240601,,0,0,0,Fishing vessel ran aground,58.819167,-3.080333,strandingAndGroundingType,grounding,-3.080333 58.819167
FireAndExplosion,20240601,,0,0,2,"A pleasure vessel alongside exploded resulting in one serious injury. Vessel was total loss and removed ashore. Five other boats damaged, at least one further total loss.  injured",51.5777,-0.7167,fireAndExplosionType,explosion,-0.7167 51.5777
OtherIncident,20240601,,0,0,1,A sail training vessel passenger stepped awkwardly and fractured their foot,50.7628,-1.3041,otherIncidentType,other incident,-1.3041 50.7628
StrandingAndGrounding,20240601,,0,0,0,A sailing vessel struck a submerged object after leaving an anchorage,49.921667,-6.316667,strandingAndGroundingType,grounding,-6.316667 49.921667
NavigationalIssues,20240601,,0,0,0,A fishing vessel experienced engine failure and required assistance,50.690283,-1.702783,navigationalIssuesType,sailing hinderance,-1.702783 50.690283
OtherIncident,20240601,,0,0,1,A cruise ship passenger lost balance and fell resulting in a fractured wrist,-15.466667,124.525,otherIncidentType,other incident,124.525 -15.466667
NavigationalIssues,20240601,,0,0,0,A ro-pax vessel experienced loss of propulsion and loss of electrical power,54.918333,-5.59,navigationalIssuesType,drifting,-5.59 54.918333
OtherIncident,20240601,,0,0,1,A cruise ship crew member dislocated their shoulder while on duty,-25.36,157.588333,otherIncidentType,other incident,157.588333 -25.36
CollisionAndContact,20240601,,0,0,0,An unnamed motor vessel collided with a self-hire vessel resulting in minor damage,50.684,-2.11,collisionAndContactType,collision,-2.11 50.684
OtherIncident,20240601,,0,0,1,A fishing vessel crew member became unresponsive after trying to remove a fishing hook from their hand,52.7156,-4.2274,otherIncidentType,other incident,-4.2274 52.7156
HullAndEngineAccessoryDamage,20240601,,0,0,0,A bulk carrier's pilot ladder did not conform to SOLAS regulations,55.7972,-4.9615,hullAndEngineAccessoryDamageType,outfit damage,-4.9615 55.7972
StrandingAndGrounding,20240601,,0,0,0,"See MAIB investigation report, when available",52.6947,0.155283,strandingAndGroundingType,grounding,0.155283 52.6947
HullAndEngineAccessoryDamage,20240601,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,51.4828,0.8075,hullAndEngineAccessoryDamageType,outfit damage,0.8075 51.4828
HullAndEngineAccessoryDamage,20240601,,0,0,0,A bulk carrier's pilot ladder did not conform to SOLAS regulations,53.4952,-3.1993,hullAndEngineAccessoryDamageType,outfit damage,-3.1993 53.4952
HullAndEngineAccessoryDamage,20240601,,0,0,0,A cruise ship's pilot ladder did not conform to SOLAS regulations,55.0138,-1.4012,hullAndEngineAccessoryDamageType,outfit damage,-1.4012 55.0138
CollisionAndContact,20240601,,0,0,0,A ro-pax vessel had a near miss with two sailing vessels,51.6962,-5.1274,collisionAndContactType,collision,-5.1274 51.6962
floodingAndSinking,20240601,,0,0,0,"A sailing yacht sank after hitting a sandbank and one of the keels breaking off, two crew recovered",52.913017,-4.135617,floodingAndSinkingType,sinking,-4.135617 52.913017
StrandingAndGrounding,20240601,,0,0,0,Sail training vessel grounded that required assistance from another vessel,50.87825,-1.300067,strandingAndGroundingType,grounding,-1.300067 50.87825
NavigationalIssues,20240601,,0,0,0,A self-hire vessel experienced a loss of propulsion and required assistance,51.5264,-0.1719,navigationalIssuesType,sailing hinderance,-0.1719 51.5264
StrandingAndGrounding,20240601,,0,0,0,Sail training vessel grounded briefly resulting in no damage,50.4272,-1.3102,strandingAndGroundingType,grounding,-1.3102 50.4272
NavigationalIssues,20240601,,0,0,0,A sail training vessel lost power and required towing,55.081667,-7.225,navigationalIssuesType,loss of direction,-7.225 55.081667
CollisionAndContact,20240601,,0,0,1,A police rib made contact with another police rib resulting in one crew member recovered from the water and minor equipment damage,51.5152,0.1181,collisionAndContactType,contact,0.1181 51.5152
OtherIncident,20240601,,0,0,1,A search and rescue crew member sustained a laceration to their hand whilst on a rescue,53.194833,-4.761667,otherIncidentType,other incident,-4.761667 53.194833
StrandingAndGrounding,20240601,,0,0,0,A search and rescue vessel grounded whilst searching for a missing person,51.3933,1.4042,strandingAndGroundingType,grounding,1.4042 51.3933
HullAndEngineAccessoryDamage,20240601,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,50.7114,-1.012,hullAndEngineAccessoryDamageType,outfit damage,-1.012 50.7114
HullAndEngineAccessoryDamage,20240601,,0,0,0,Cargo ship's pilot ladder did not conform to SOLAS regulations,53.518,-3.224,hullAndEngineAccessoryDamageType,outfit damage,-3.224 53.518
NavigationalIssues,20240601,,0,0,0,A fishing vessel fouled its propellers and required a tow,52.031333,-4.970617,navigationalIssuesType,drifting,-4.970617 52.031333
CollisionAndContact,20240601,,0,0,0,Near miss between a container vessel and a fishing vessel resulting in no damages,49.938667,-5.029717,collisionAndContactType,collision,-5.029717 49.938667
floodingAndSinking,20240601,,0,0,0,A keelboat started taking on water during a race and later sank with three people recovered from the water,50.799167,-0.900867,floodingAndSinkingType,sinking,-0.900867 50.799167
OtherIncident,20240601,,0,0,0,A crew member made an error in judgement when they entered the water and separated from the vessel,50.6216,-2.2788,otherIncidentType,safety hinderance and near misses,-2.2788 50.6216
OtherIncident,20240601,,1,0,0,A person fell in the water while trying to get back onboard a vessel,51.3529,-2.0189,otherIncidentType,other incident,-2.0189 51.3529
StrandingAndGrounding,20240601,,0,0,0,A cargo vessel ran aground at the entrance to a river but was able to re-float on the tide,56.457833,-2.686117,strandingAndGroundingType,grounding,-2.686117 56.457833
OtherIncident,20240601,,0,0,1,Cruise ships passenger slipped resulting in closed fracture to the left forearm,50.948333,-129.966667,otherIncidentType,other incident,-129.966667 50.948333
HullAndEngineAccessoryDamage,20240601,,0,0,0,A cargo ship's pilot ladder did not conform to SOLAS regulations,53.5066,-3.2923,hullAndEngineAccessoryDamageType,outfit damage,-3.2923 53.5066
StrandingAndGrounding,20240601,,0,0,0,A historical fishing vessel ran aground,52.8125,0.35705,strandingAndGroundingType,grounding,0.35705 52.8125
NavigationalIssues,20240601,,0,0,0,A fishing vessel suffered engine failure resulting in a tow from another fishing vessel,53.86765,-0.069303,navigationalIssuesType,drifting,-0.069303 53.86765
NavigationalIssues,20240601,,0,0,0,A fishing vessel suffered gear box failure and required towing,57.000267,-5.9226,navigationalIssuesType,drifting,-5.9226 57.000267
OtherIncident,20240701,,0,0,1,Fishing vessel crew member suffered a  finger crush injury after getting it caught in machinery,50.623333,-9.071667,otherIncidentType,other incident,-9.071667 50.623333
NavigationalIssues,20240701,,0,0,0,A fishing vessel's fixed fire suppression system inadvertantly activated,50.7909,0.3291,navigationalIssuesType,sailing hinderance,0.3291 50.7909
HullAndEngineAccessoryDamage,20240701,,0,0,0,A bulk carrier's pilot ladder did not conform to SOLAS regulations,51.5636,-3.8706,hullAndEngineAccessoryDamageType,outfit damage,-3.8706 51.5636
OtherIncident,20240701,,0,0,1,A service vessel crew member wearing flip flops fell down a stairwell resulting in a shoulder injury,55.275,-5.75,otherIncidentType,other incident,-5.75 55.275
HullAndEngineAccessoryDamage,20240701,,0,0,0,A cruise ship's pilot ladder did not conform to SOLAS regulations,53.4895,-3.2142,hullAndEngineAccessoryDamageType,outfit damage,-3.2142 53.4895
OtherIncident,20240701,,0,0,1,A sailing vessel skipper fell and sustained a head wound and was medically evacuated.,50.221167,-0.457833,otherIncidentType,other incident,-0.457833 50.221167
HullAndEngineAccessoryDamage,20240701,,0,0,0,A general cargo vessel had an inadequate pilot ladder arrangement.,52.5692,1.7594,hullAndEngineAccessoryDamageType,outfit damage,1.7594 52.5692
CollisionAndContact,20240701,,0,0,0,A fisheries protection vessel collided with a fishing vessel.,52.519567,1.822717,collisionAndContactType,collision,1.822717 52.519567
OtherIncident,20240701,,0,0,1,A sailing vessel crewmember sustained amputated fingers.,49.89,-6.334,otherIncidentType,safety hinderance and near misses,-6.334 49.89
NavigationalIssues,20240701,,0,0,0,A sail training yacht suffered steering failure,50.26,-2.213333,navigationalIssuesType,sailing hinderance,-2.213333 50.26
OtherIncident,20240701,,0,0,1,A cruise ship passenger fell down some steps resulting in a fracture to the lower leg,42.588333,-11.083333,otherIncidentType,other incident,-11.083333 42.588333
NavigationalIssues,20240701,,0,0,0,"A fishing vessel fouled it's propeller and rudder, the vessel was anchored and awaited assistance",54.756667,-4.907333,navigationalIssuesType,sailing hinderance,-4.907333 54.756667
StrandingAndGrounding,20240601,,0,0,0,SAR craft struck unseen reef/rock resulting in damage to the propeller and skeg,51.401167,-3.174,strandingAndGroundingType,grounding,-3.174 51.401167
OtherIncident,20240701,,0,0,1,A cruise ship passenger was playing basketball when their achilles tendon ruptured,51.805,-129.903333,otherIncidentType,other incident,-129.903333 51.805
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,51.4846,0.9841,hullAndEngineAccessoryDamageType,outfit damage,0.9841 51.4846
CollisionAndContact,20240701,,0,0,0,A service vessel and naval vessel collided during an exercise resulting in damage to the service vessel,50.33,-4.323333,collisionAndContactType,collision,-4.323333 50.33
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,51.494,0.9947,hullAndEngineAccessoryDamageType,outfit damage,0.9947 51.494
HullAndEngineAccessoryDamage,20240701,,0,0,0,A general cargo vessel's pilot ladder did not conform to SOLAS regulations,55.0333,-1.3044,hullAndEngineAccessoryDamageType,outfit damage,-1.3044 55.0333
StrandingAndGrounding,20240601,,0,0,0,A passenger sight seeing vessel grounded with passengers on board.,49.8946,-6.3669,strandingAndGroundingType,grounding,-6.3669 49.8946
NavigationalIssues,20240701,,0,0,0,Wind farm transfer vessel's mooring line fouled both propellers resulting in loss of propulsion.,53.1573,0.7904,navigationalIssuesType,sailing hinderance,0.7904 53.1573
NavigationalIssues,20240701,,0,0,1,A sailing vessel was towed back to safety as the lone sailor was injured,50.1569,-3.44985,navigationalIssuesType,sailing hinderance,-3.44985 50.1569
StrandingAndGrounding,20240501,,0,0,0,Support vessel grounded resulting in no known damage but loss of power and towage required to deeper waters.,52.6467,1.8099,strandingAndGroundingType,grounding,1.8099 52.6467
OtherIncident,20240701,,0,0,1,A fishing vessel crew member sustained a laceration to the head resulting in drifting in and out of consciousness.,49.427167,-3.038333,otherIncidentType,other incident,-3.038333 49.427167
floodingAndSinking,20240701,,0,0,0,"Pleasure vessel abandoned resulting in sinking, owners safe and well.",50.1,-5.053417,floodingAndSinkingType,sinking,-5.053417 50.1
OtherIncident,20240601,,0,0,1,Service vessel's crew member caught finger resulting in closed fracture,53.269833,0.505667,otherIncidentType,other incident,0.505667 53.269833
OtherIncident,20240701,,0,0,1,Cruise ship's passenger fell from treadmill resulting in closed fracture to the elbow.,40.108333,-10.148333,otherIncidentType,other incident,-10.148333 40.108333
NavigationalIssues,20240701,,0,0,0,Fishing vessel loss of power resulting in complete engine failure and towage.,57.095,-0.073333,navigationalIssuesType,drifting,-0.073333 57.095
floodingAndSinking,20240701,,0,0,0,Sailing vessel started taking on water resulting in a search and rescue vessel assisting,56.0365,-4.803667,floodingAndSinkingType,flooding,-4.803667 56.0365
FireAndExplosion,20240701,,0,0,0,Sailing vessel experienced engine fire with 5 POB.,55.8675,-5.386033,fireAndExplosionType,fire,-5.386033 55.8675
OtherIncident,20240701,,1,0,0,"See MAIB investigation report, when available",58.638667,-2.2965,otherIncidentType,other incident,-2.2965 58.638667
OtherIncident,20240701,,0,0,1,A cruise ship passenger tripped and fractured their leg,55.816667,0.333333,otherIncidentType,other incident,0.333333 55.816667
OtherIncident,20240701,,0,0,1,A cruise ship passenger tripped and fractured their wrist,55.816667,3.25,otherIncidentType,other incident,3.25 55.816667
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,54.6895,-1.086,hullAndEngineAccessoryDamageType,outfit damage,-1.086 54.6895
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,51.3775,-3.1725,hullAndEngineAccessoryDamageType,outfit damage,-3.1725 51.3775
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,51.5145,1.0638,hullAndEngineAccessoryDamageType,outfit damage,1.0638 51.5145
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,51.4902,0.8765,hullAndEngineAccessoryDamageType,outfit damage,0.8765 51.4902
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,51.4871,0.9979,hullAndEngineAccessoryDamageType,outfit damage,0.9979 51.4871
FireAndExplosion,20240701,,0,0,0,"Passenger Ro-Ro fire in the gally from oven, resulting in no damage.",55.675,-5.895,fireAndExplosionType,fire,-5.895 55.675
NavigationalIssues,20240701,,0,0,0,A fishing vessel suffered a gear box failure resulting in a tow,54.196833,-0.191,navigationalIssuesType,drifting,-0.191 54.196833
OtherIncident,20240701,,0,0,1,A fishing vessel crew member sustained a crush injury to two fingers,50.45,-10.266667,otherIncidentType,other incident,-10.266667 50.45
StrandingAndGrounding,20240601,,0,0,0,A sailing vessel ran aground at the entrance to a harbour,52.245,-4.266667,strandingAndGroundingType,grounding,-4.266667 52.245
OtherIncident,20240701,,0,0,1,A workboat crew member's hand was trapped under a sling chain when a slip line failed,50.7482,-1.2909,otherIncidentType,other incident,-1.2909 50.7482
OtherIncident,20240701,,0,0,1,A motor cruiser crew member slipped resulting in a crush leg injury.,52.7097,1.4089,otherIncidentType,other incident,1.4089 52.7097
OtherIncident,20240701,,0,0,1,A research vessel crew member was struck by a winch handle whilst recovering an anchor,53.312833,0.328,otherIncidentType,other incident,0.328 53.312833
CollisionAndContact,20240701,,0,0,0,A service vessel made contact with a pontoon and sustained minor damage,47.3465,-2.512,collisionAndContactType,contact,-2.512 47.3465
CollisionAndContact,20240301,,0,0,0,"A service vessel experienced an engine fault and required a tow, while rigging the tow both vessels sustained minor damage",53.5959,6.6083,collisionAndContactType,contact,6.6083 53.5959
HullAndEngineAccessoryDamage,20240701,,0,0,0,Container ship's pilot ladder did not conform to SOLAS regulations,51.8949,1.3955,hullAndEngineAccessoryDamageType,outfit damage,1.3955 51.8949
CollisionAndContact,20240701,,0,0,0,A search and rescue vessel made contact as it was coming alongside a vessel,53.5675,0.353667,collisionAndContactType,contact,0.353667 53.5675
NavigationalIssues,20240701,,0,0,0,A self-hire vessel experienced an electric outboard engine failure and required assistance,51.5244,-0.1772,navigationalIssuesType,drifting,-0.1772 51.5244
OtherIncident,20240701,,0,0,1,A cruise ship passenger slipped on a wet floor and fractured their ankle,-28.775,176.26,otherIncidentType,other incident,176.26 -28.775
StrandingAndGrounding,20240701,,0,0,0,A search and rescue vessel ran aground whilst assisting another vessel,53.416167,-4.597333,strandingAndGroundingType,grounding,-4.597333 53.416167
StrandingAndGrounding,20240701,,0,0,0,A sailing vessel that had ran aground later sank whilst under tow,53.4066,-4.597333,strandingAndGroundingType,grounding,-4.597333 53.4066
HullAndEngineAccessoryDamage,20240701,,0,0,0,A container ship used a dangerously weighted heaving line,50.9042,-1.4323,hullAndEngineAccessoryDamageType,hull damage,-1.4323 50.9042
StrandingAndGrounding,20240701,,0,0,0,"See MAIB investigation report, when available",58.923633,-2.794917,strandingAndGroundingType,grounding,-2.794917 58.923633
